Agency,URL,Title,Description,Identifier,Access
EPA,http://www.epa.gov/waters/geoservices/docs/spatial_assignment_service.html,EPA Water Services - Spatial Assignment Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Spatial Assignment Service is a support service allowing users to associate spatial information with reference layers stored in WATERS (Watershed Assessment, Tracking & Environmental ResultS). The intention of the service is not to report or analyze all interactions with the reference layer but rather to assign a single result. Provided parameters allow several means to resolve multiple matches including hinting via parameters, spatial analysis, distance analysis or simple arbitrary choice.",{F6A6D643-21F4-4C9C-B494-BA031AD6CF50},public
EPA,http://www.epa.gov/waters/geoservices/docs/total_waters_service.html,EPA Water Services - Total Waters Geometry Service,Returns summary information about the surface water and the EPA water quality and other information within an arbitrary geometry.,{FBE7C742-0964-4FFA-8201-19D0D385DB98},public
EPA,http://www.epa.gov/waters/geoservices/docs/rad_event_info_service.html,EPA Water Services - RAD Event Information Service,"The RAD (Reach Address Database) Event Information Service is intended to allow dynamic yet efficient query access to RAD events and associated information. While the RAD utilizes a single common data structure, differing programs provide differing usage models of RAD data. The RAD information service leverages these usage models to combine an efficient query with a simple output data object. The creation of data usage models is an ongoing process.",{0B19DC82-E751-433C-81A1-CBFC929C8B15},public
EPA,http://qwwebservices.usgs.gov/,EPA Water Services - NWISQWResultService,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. Retrieves water-quality result data.",{C651A4DB-FB52-4B78-B5DA-FBCE8E399892},public
EPA,http://www.epa.gov/waters/geoservices/docs/upstreamdownstream_service.html,EPA Water Services - Upstream/Downstream Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Upstream/Downstream service is designed to provide standard stream network traversal and discovery functions. The traversal request may include a description of where, on the stream network, to begin the traversal, a description of where or how to end the traversal, and a list of one or more formats for the returned results. The Upstream/Downstream service receives the stream network traversal request, performs the traversal, and returns the requested results. The Upstream/Downstream service is an elemental function to be used by applications as a stand alone service or in combination with other WATERS (Watershed Assessment, Tracking & Environmental ResultS) services. All Upstream/Downstream executions require a navigation type and at least one start point. All other input parameters are optional.",{523804B9-776F-4EA6-9255-70C8C56EF5E0},public
EPA,http://www.epa.gov/waters/geoservices/docs/name_service.html,EPA Water Services - Name Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. Advanced query function to find U.S. Geological Survey GNIS (Geographic Names Information System) water feature names and provide general location information for National Hydrography Dataset features.",{DD49CB3D-7B55-41F1-A4EF-0C085CF6FEE5},public
EPA,http://www.epa.gov/waters/tmdl/expert_query.html,WATERS Expert Query Tool,"The Expert Query Tool is a web-based reporting tool using the EPA•À_??s WATERS database.There are just three steps to using Expert Query:1. View Selection •À_?? Choose what type of information you want from the database.2. Data Element Selection •À_?? Choose specific data elements, which will appear as columns in the report, from the database.3. Entering Search Criteria •À_?? Refine the data to be displayed and arrange how it will appear in the report.Data can be output from Expert Query in two ways: as HTML (displayed in the user•À_??s web browser) or as a file (comma•À_?? or tab-delimited). Files downloaded to the user•À_??s PC can then be imported into a spreadsheet program such as Excel or a database such as Access and manipulated further.",{0D772508-5CD2-A4F6-5BB1-93AE99E6C8AF},public
EPA,http://www.epa.gov/waters/geoservices/docs/results_queue_service.html,EPA Water Services - Results Queue Service,"The WATERS Web and Database services provide open interfaces to complex analyses. These services make extensive use of the NHD and referenced program data in the RAD, and also integrate other WATERS program data. Designed as loosely coupled modular units, the services are developed in a common architecture. The Results Queue Service functions to allow other WATERS (Watershed Assessment, Tracking & Environmental ResultS) services to process results asynchronously. At the center of the service is queue which receives and retains for a limited time the direct results of other WATERS services. Then using a simple identification code, the user may subsequently query the Results Queue Service to either determine if processing is complete or fetch completed results.",{E6DD9507-CA3D-434C-9F2A-EBB02183CB5F},public
EPA,http://www.state.nj.us/dep/njgs/geodata/dgs04-5.htm,Well Head Protection Areas For Public Non-Community Water Supply Wells In New Jersey,"A Well Head Protection Area for a Public Non-Community Water Supply Well (PNCWS) in New Jersey is a map area calculated around a Public Non-Community Water Supply well that delineates the horizontal extent of ground water captured by a well pumping at a specific rate over a two-, five-, and twelve-year period.åÊ GIS coverages are produced for each PNCWS well and for the set of all PNCWS wells in each county and for the state. The individual, county and state coverages are prepared for distribution as uncompressed ARC/INFO export files. åÊThe export files are combined with parameter-reference files for each county in compressed 'zip' files for delivery over the Internet. åÊPublic Non-Community Water Supply Well Head Protection Area downloads therefore include line and polygon GIS coverages with associated database files, and parameter-reference files for data documentation. The documentation files are ASCII text files having the 'txt' extension. åÊWHPA delineation methods are described in ""Guidelines for Delineation of Well Head Protection Areas in New Jersey"" available as a download at www.state.nj.us/dep/njgs/whpaguide.pdf.",{9E8BD0F4-BEBB-47E9-8614-A97FF57B1CCB},public
EPA,http://www.epa.gov/region9/marine-debris/,Fleet Debris Levels,"Marine debris degrades ocean habitats, endangers marine and coastal wildlife, causes navigation hazards, results in economic losses to industry and governments, and threatens human health and safety. EPA Pacific Southwest (Region 9) is tapping existing programs and resources to advance the prevention, reduction and clean-up of marine debris in the North Pacific Ocean. EPA Pacific Southwest activities build upon specific recommendations of the Interagency Marine Debris Coordinating Committee by targeting threats and sources of debris and responding to debris impacts. EPA is initiating a three-pronged effort to reduce sources of marine debris, prevent trash from entering the oceans, and assess the human and ecosystem impacts and potential for cleanup.",{F31E2DB5-936B-4A21-BEA4-955CBC73CA8F},public
EPA,http://www.epa.gov/waters/geoservices/docs/navigation_service.html,EPA Water Services - Navigation Service,"The Navigation service is a subset component of the Upstream/Downstream service designed to provide standard stream network traversal. The traversal request may include a description of where, on the stream network, to begin the traversal, and a description of where or how to end the traversal. All Upstream/Downstream executions require a navigation type and at least one start point. All other input parameters are optional.",{801B2A2D-19E6-4F49-8BC9-4B4C160828AD},public
EPA,http://water.epa.gov/type/lakes/lakessurvey_index.cfm,National Aquatic Resource Surveys (NARS) N/P Values for Lakes •À_?? National Lake Assessment,"The National Aquatic Resource Survey (NARS) findings for nutrients in streams and lakes highlight that nutrient pollution is widespread across the United States and impacts biological communities. The NARS analysis examined the range of values for nutrients in least-disturbed sites in a NLA region [NLA regions are modified Level III ecoregions from Omernik (1987)] and used this distribution for nitrogen and phosphorus to separate sites into those having high, medium, or low concentrations of nutrients. Sites identified as ""high"" were worse (i.e., had higher nutrient concentrations) than 95% of the sites used to define least-disturbed condition. Similarly, the 75th percentile of the least-disturbed distribution was used to distinguish between sites in medium and low condition. This means that sites reported as being as ""low"" were as good as or better than 75% of the sites used to define least-disturbed condition. A relative risk analysis of the data from this survey found that nationally streams and lakes have more than two times greater risk of having degraded biological communities when nutrient concentrations are high than when they are low. / For more information, please consult the National Lakes Assessment (NLA): Technical Appendix Report available online at: http://water.epa.gov/type/lakes/lakessurvey_index.cfm.",{AB40E7D0-2F4E-4E14-BB97-E346ABF8BE08},public
EPA,http://geodata.epa.gov/ArcGIS/rest/services/OW/AquaticNuisanceSpeciesLocator/MapServer,Aquatic Nuisance Species Locator,"Data in this map has been collected by the United States Geological Survey's Nonindigenous Aquatic Species program located in Gainesville, Florida (http://nas.er.usgs.gov/default.aspx). This dataset may have some inaccuracies and is only current to June 15, 2012. / The species identified in this dataset are not inclusive of all aquatic nuisance species, but rather a subset identified to be at risk for transport by recreational activities such as boating and angling. Additionally, the locations where organisims have been identified are also not inclusive and should be treated as a guide. / Organisms are limited to the following: / American bullfrog, Asian clam, Asian shore crab, Asian tunicate, Australian spotted jellyfish, Chinese mitten crab, New Zealand mudsnail, Colonial sea squirt, Alewife, Bighead carp, Black carp, Flathead catfish, Grass carp, Green crab, Lionfish, Northern snakehead, Quagga mussel, Round Goby, Ruffe, Rusty crayfish, Sea lamprey, Silver carp, Spiny water flea, Veined rapa whelk, Zebra mussel",{E9C96806-73EE-42C4-B65A-973EA91D77FB},public
EPA,https://cdxnode64.epa.gov/radnet-public/showMap.do,RadNet Map Interface for Near-Real-Time Radiation Monitoring Data,"RadNet is a national network of monitoring stations that regularly collect air, precipitation, drinking water, and milk samples for analysis of radioactivity. The RadNet network, which has stations in each state, has been used to track environmental releases of radioactivity from nuclear weapons tests and nuclear accidents.",{9B282057-4B89-4A1B-AC84-B47930ACF7D2},public
EPA,http://www.epa.gov/waterscience/basins/,"1:250,000 Scale Quadrangles of Landuse/LandcoverGIRAS Spatial Data of CONUS in BASINS","This is land use/land cover digital data collected byUSGS and converted to ARC/INFO by the EPA. Thisdata which resides in EPA's Spatial Data Library (ESDLS),is useful for environmental assessment of land usepatterns with respect to water quality analysis, growthmanagement, and other types of environmental impactassessment. GIRAS LU/LC is being used in EPA's,Office of Water/OST BASINS water quality assessment model.",{D4FAFE7C-CC25-3EAC-7056-B3DD7AA42431},public
EPA,http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_CleanAir/MapServer,"EnviroAtlas - Metrics for Tampa, FL","This EnviroAtlas web service supports research and online mapping activities related to EnviroAtlas (http://enviroatlas.epa.gov/EnviroAtlas). The layers in this web service depict ecosystem services at the census block group level for the community of Tampa, Florida. These layers illustrate the ecosystems and natural resources that are associated with clean air (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_CleanAir/MapServer); clean and plentiful water (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_CleanPlentifulWater/MapServer); natural hazard mitigation (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_NaturalHazardMitigation/MapServer); climate stabilization (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_ClimateStabilization/MapServer); food, fuel, and materials (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_FoodFuelMaterials/MapServer); recreation, culture, and aesthetics (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_RecreationCultureAesthetics/MapServer); and biodiversity conservation (http://enviroatlas.epa.gov/arcgis/rest/services/Communities/ESC_TFL_BiodiversityConservation/MapServer) , and factors that place stress on those resources. EnviroAtlas allows the user to interact with a web-based, easy-to-use, mapping application to view and analyze multiple ecosystem services for the conterminous United States as well as detailed metrics for select communities. Additional descriptive information about each attribute in this web service is located within each web service layer (see Full Metadata hyperlink) or can be found in its associated EnviroAtlas Fact Sheet (http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets).",{86E20C56-0A43-4C92-8ABC-93546EC140D5},public
EPA,http://enviroatlas.epa.gov/arcgis/rest/services/PeopleBuiltSpaces/ESC_TFL_demographics/MapServer,"EnviroAtlas - Tampa, FL - Demographics by Block Group Web Service",This EnviroAtlas web service supports research and online mapping activities related to EnviroAtlas (http://enviroatlas.epa.gov/EnviroAtlas). This EnviroAtlas dataset is a summary of key demographic groups for the Atlas Area. The purpose of this dataset is to highlight areas where the population is more vulnerable due to age or economic disadvantage. These populations may be at a higher risk for detrimental impacts to their well-being. Additional descriptive information about each attribute in this dataset can be found in its associated EnviroAtlas Fact Sheet (http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets).,{DDAE0DA5-8641-4BAB-A7D8-541E3C2F90A2},public
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=allowances.prepackageddatasets&AQW_fuseaction=allowances.prepackageddatasets&AQW_criteria_fuseaction=allowances.program&AQW_tabMode=1&AQW_datasetSelection=PrePackaged+Datasets&AQW_menuSelection=&AQW_criteriaAction=reset&AQW_requiredSelectionMade=false&AQW_requiredMenuItem=&divinstructions=Download+allowance+transaction+and+holdings+data.+,Clean Air Markets Clean Air Interstate Rule (CAIR) NOx Ozone Season Program Allowance Holdings,Current allowance holdings for entities regulated under CAIR NOx Ozone Season cap and trade program ... power plants and other facilities,{E2EA7B02-E563-4EAC-8848-5FCA6411E941},public
EPA,http://java.epa.gov/castnet/reportPage.do,Clean Air Status and Trends Network (CASTNET) Download Data Module,"The CASTNET Download Data module allows users to select, view, and download CASTNET data (Raw, Aggregate, Modeled & Factual Data) based on user selections. CASTNET sites are located in or near rural areas and sensitive ecosystems collecting data on ambient levels of pollutants where urban influences are minimal. CASTNET, which was initiated in 1986, is able to provide data needed to assess and report on geographic patterns and long-term temporal trends in ambient air pollution and dry atmospheric deposition. CASTNET can also be used to track changes in measurements associated with climate change (such as temperature and precipitation).",{5936F352-D87F-4D70-B5C2-1EDA46CD0CF1},public
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=facilities.wizard,Clean Air Markets - Facility Attributes and Contacts Query Wizard,"The Facility Attributes and Contacts Query Wizard is part of a suite of Clean Air Markets-related tools that are accessible at http://camddataandmaps.epa.gov/gdm/index.cfm. The Facility Attributes and Contact module gives the user access to current and historical facility, owner, and representative data using custom queries, via the Facility Attributes Query Wizard, or Quick Reports. In addition, data regarding EPA, State, and local agency staff are also available. The Query Wizard can be used to search for data about a facility or facilities by identifying characteristics such as associated programs, owners, representatives, locations, and unit characteristics, facility inventories, and classifications. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",{87A68F4A-5AA8-4974-A266-187D0378E3EB},public
EPA,http://www.epa.gov/roe/,Ecological Hubs and Corridors Web Service,NEF hubs were region grouped and then converted to polygons. Analysis was done with the region grouped grid data and then joined to the polygon.,{EE0477A4-3CD3-4675-8429-9F82DCFE18F0},public
EPA,http://www.epa.gov/tri/tridotnet/,TRI.NET data engine for EPA Toxics Release Inventory,"TRI.NET (""T-R-I-dot-net"") is a new application developed by EPA to help you analyze Toxics Release Inventory (TRI) information. This application is capable of easily and quickly performing complex queries to help you understand TRI information. It is especially useful for analysts who need a highly interactive environment in order to refine their queries and analyses in an efficient and productive way. TRI.NET makes heavy use of mashups using the latest mapping technologies to help visualize where TRI releases are occurring.",{111E8E4C-0FB8-4334-A739-CB54BC9568A3},public
EPA,https://edg.epa.gov/data/Public/Katrina/MurphyOilSpillBndy.zip,Hurricane Katrina - Murphy Oil Spill Boundary,"Hurricane Katrina made landfall in August 2005, causing widespread devastation along the Gulf Coast of the United States. EPA emergency response personnel worked with FEMA and state and local agencies to respond to the emergencies throughout the Gulf.",{26B145ED-F8AD-43AD-9EE4-5664E52BD403},public
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=allowances.wizard&AQW_datasetSelection=,Clean Air Markets - Allowances Query Wizard,"The Allowances Query Wizard is part of a suite of Clean Air Markets-related tools that are accessible at http://camddataandmaps.epa.gov/gdm/index.cfm. The Allowances module allows the user to view allowance data associated with EPA's emissions trading programs. Allowance data can be specified and organized using the Allowance Query Wizard to find allowances information associated with specific accounts, companies, transactions, programs, facilities, representatives, allowance type, or by date. Quick Reports and Prepackaged Datasets are also available for data that are commonly requested. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",{94AAED23-8775-4A2F-BFB7-74F972F5251C},public
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=factstrends.choose,Clean Air Markets - Quick Facts and Trends,"The Quick Facts and Trends module is part of a suite of Clean Air Markets-related tools that are accessible at http://camddataandmaps.epa.gov/gdm/index.cfm. The Quick Facts and Trends module provides charts and graphs depicting national trends in emissions and heat input. The user can view, for example, data pertaining to the top annual and ozone season emitters of a selected pollutant, the number of units and facilities in a particular state, and trends in sulfur dioxide, nitrogen oxide and carbon dioxide emissions. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",{CD89D57C-E360-4919-A421-2599D4DDA6A8},public
EPA,http://water.epa.gov/scitech/swguidance/fishshellfish/fishadvisories/index.cfm,EPA Fish Consumption Advisories Website,"Fish are a lean, low-calorie source of protein. However, some fish may contain chemicals that could pose health risks. When contaminant levels are unsafe, consumption advisories may recommend that people limit or avoid eating certain species of fish caught in certain places. Every year since 1993, the EPA has made available to the public a compendium of information on locally issued fish advisories and safe eating guidelines. This information is provided to EPA by states, U.S. territories, Indian tribes, and local governments who issue fish consumption advisories and safe eating guidelines to inform people about the recommended level of consumption for fish caught in local waters. Welcome to the EPA's Fish Consumption Advisory website. This website is divided into two main areas: a General Advisory Information area and a Technical Advisory Information area.",{76E9333B-F87E-48D6-BA4A-D9BD237FDE32},public
EPA,http://camddataandmaps.epa.gov/gdm/index.cfm?fuseaction=whereyoulive.nation,Clean Air Markets - Where You Live (National and State Maps),"Where You Live accesses facility and unit attribute data as well as emissions data using a series of interactive national and state maps. This module allows the user to view data for regions of interest throughout the country using an intuitive interface, while also providing a national and statewide context for data specific to one or more facilities. EPA's Clean Air Markets Division (CAMD) includes several market-based regulatory programs designed to improve air quality and ecosystems. The most well-known of these programs are EPA's Acid Rain Program and the NOx Programs, which reduce emissions of sulfur dioxide (SO2) and nitrogen oxides (NOx)-compounds that adversely affect air quality, the environment, and public health. CAMD also plays an integral role in the development and implementation of the Clean Air Interstate Rule (CAIR).",{D0E74A80-0E84-4372-A8D7-7B131357AFF9},public
EPA,https://edg.epa.gov/data/PUBLIC/ORD/ENVIROATLAS/NHDPlusV2_WBDSnapshot_EnviroAtlas_CONUS.gdb.zip,"EnviroAtlas - NHDPlus V2 WBD Snapshot, EnviroAtlas version - Conterminous United States","This EnviroAtlas dataset is a digital hydrologic unit boundary layer to the Subwatershed (12-digit) 6th level for the conterminous United States, based on the January 6, 2015 NHDPlus V2 WBD (Watershed Boundary Dataset) Snapshot (NHDPlusV21_NationalData_WBDSnapshot_FileGDB_05). The feature class has been edited for use in for EPA ORD's EnviroAtlas. Features in Canada and Mexico have been removed, the boundaries of three 12-digit HUCs have been edited to eliminate gaps and overlaps, the dataset has been dissolved on HUC_12 to create multipart polygons, and information on the percent land area has been added. Hawaii, Puerto Rico, and the U.S. Virgin Islands have been removed, and can be downloaded separately. Other than these modifications, the dataset is the same as the WBD Snapshot included in NHDPlus V2. / This dataset was produced by the US EPA to support research and online mapping activities related to EnviroAtlas. EnviroAtlas (http://enviroatlas.epa.gov/EnviroAtlas) allows the user to interact with a web-based, easy-to-use, mapping application to view and analyze multiple ecosystem services for the contiguous United States. The dataset is available as downloadable data (https://edg.epa.gov/data/Public/ORD/EnviroAtlas) or as an EnviroAtlas map service. Additional descriptive information about each attribute in this dataset can be found in its associated EnviroAtlas Fact Sheet (http://enviroatlas.epa.gov/EnviroAtlas/DataFactSheets).",{BA1041E9-02B6-40ED-8DB0-B1EEF68B6CA7},public
EPA,http://watersgeo.epa.gov/arcgis/rest/services/OWRAD_NP21/303D_NP21/MapServer/,EPA Office of Water (OW): 303(d) Listed Impaired Waters NHDPlus Indexed Dataset,"The 303(d) Listed Impaired Waters program system provides impaired water data and impaired water features reflecting river segments, lakes, and estuaries designated under Section 303(d) of the Clean Water Act. Each State will establish Total Maximum Daily Loads (TMDLs) for these waters. Note the CWA Section 303(d) list of impaired waters does not represent waters that are impaired but have an EPA-approved TMDL established, impaired waters for which other pollution control mechanisms are in place and expected to attain water quality standards, or waters impaired as a result of pollution and is not caused by a pollutant. Therefore, the ""Impaired Waters"" layers do not represent all impaired waters reported in a state's Integrated Report, but only the waters comprised of a state's approved 303(d) list. For more information regarding impaired waters refer to EPA's Integrated Reporting Guidance at: http://water.epa.gov/lawsregs/lawsguidance/cwa/tmdl/guidance.cfm. 303(d) waterbodies are coded onto NHDPlus v2.1 flowline and waterbody features to create line, area, and point events. In addition to NHDPlus reach indexed data there may also be custom event data (point, line, or polygon) that are not associated with NHDPlus and are in an EPA standard format that is compatible with EPA's Reach Address Database. These custom features are used to represent locations of 303(d) waterbodies that are not represented well in NHDPlus.",{66F27299-6B1B-42BF-8AA0-1127D7646631},public
EPA,http://gisint1.rtpnc.epa.gov/ArcGIS/rest/services/OA/EJ_Environmental_Data/MapServer,"EJSCREEN Version 1, Environmental Data","This map service displays raw environmental data for the 12 environmental indicators used in EJSCREEN. The map service displays percentiles for each of the environmental indicators to provide perspective on how a selected location compares to the entire nation. EJSCREEN is an environmental justice screening tool that provides EPA with a nationally consistent approach to screening for potential areas of EJ concern that may warrant further investigation. The EJ indexes are block group level results that combine multiple demographic factors with a single environmental variable (such as proximity to traffic) that can be used to help identify communities living with the greatest potential for negative environmental and health effects. The EJSCREEN tool is currently for internal EPA use only. It is anticipated that as users become accustomed to this new tool, individual programs within the Agency will develop program use guidelines and a community of practice will develop around them within the EPA Geoplatform. Users should keep in mind that screening tools are subject to substantial uncertainty in their demographic and environmental data, particularly when looking at small geographic areas, such as Census block groups. Data on the full range of environmental impacts and demographic factors in any given location are almost certainly not available directly through this tool, and its initial results should be supplemented with additional information and local knowledge before making any judgments about potential areas of EJ concern.",{7C5B5C7F-04C2-46A9-A5A7-C799CEAB9A6A},non-public
EPA,http://geodata.epa.gov/wfsconnector/com.esri.wfs.Esrimap/WasteWaterFeature?request=getcapabilities&service=WFS,EPA Office of Water (OW): Waste Water Feature Service,"and 303(d) waterbodies, Designated Uses, etc. Reach addresses establish the locations of these entities relative to one another within the NHD surface water drainage network in a manner similar to street addresses. The assignment of reach addresses is accomplished through a process known as reach indexing.",{37E36FDD-F99A-4954-A1A0-81F8F6E5531A},public
EPA,https://edg.epa.gov/data/Public/OECA/CAFO_Density.zip,"Concentrated Animal Feeding Operations (CAFOs) per County, US, 2013, US EPA","This downloadable data package contains the following map layer: An ESRI polygon layer which depicts the boundaries of each US county. It has been joined with a US EPA value-added dataset derived from the 2007 USDA Census of Agriculture. This USDA dataset was procured for EPA through the Office of Water (OW). Included in this package are a shapefile (v. 10.0), Esri ArcMap map document (v. 10.0) and XML files for this record and the layer level metadata.",{A0D7B216-6364-46E0-9421-A43E79E5FD92},public
EPA,ftp://ftp.epa.gov/wed/ecoregions/us,U.S. Level III and IV Ecoregions (U.S. EPA),"This map service displays Level III and Level IV Ecoregions of the United States and was created from ecoregion data obtained from the U.S. Environmental Protection Agency Office of Research and Development's Western Ecology Division. The original ecoregion data was projected from Albers to Web Mercator for this map service. To download shapefiles of ecoregion data (in Albers), please go to: www.epa.gov/wed/pages/ecoregions.htm. IMPORTANT NOTE ABOUT LEVEL IV POLYGON LEGEND DISPLAY IN ARCMAP: Due to the limitations of Graphical Device Interface (GDI) resources per application on Windows, ArcMap does not display the legend in the Table of Contents for the ArcGIS Server service layer if the legend has more than 100 items. As of December 2011, there are 968 unique legend items in the Level IV Ecoregion Polygon legend. Follow this link (http://support.esri.com/en/knowledgebase/techarticles/detail/33741) for instructions about how to increase the maximum number of ArcGIS Server service layer legend items allowed for display in ArcMap. Note the instructions at this link provide a slightly incorrect path to ""Maximum Legend Count"". The correct path is HKEY_CURRENT_USER > Software > ESRI > ArcMap > Server > MapServerLayer > Maximum Legend Count. When editing the ""Maximum Legend Count"", update the field, ""Value data"" to 1000. To download a PDF version of the Level IV ecoregion map and legend, go to ftp://ftp.epa.gov/wed/ecoregions/us/Eco_Level_IV_US_pg.pdf. / Ecoregions denote areas of general similarity in ecosystems and in the type, quality, and quantity of environmental resources. They are designed to serve as a spatial framework for the research, assessment, management, and monitoring of ecosystems and ecosystem components. These general purpose regions are critical for structuring and implementing ecosystem management strategies across federal agencies, state agencies, and nongovernment organizations that are responsible for different types of resources within the same geographical areas. The approach used to compile this map is based on the premise that ecological regions can be identified through the analysis of patterns of biotic and abiotic phenomena, including geology, physiography, vegetation, climate, soils, land use, wildlife, and hydrology. The relative importance of each characteristic varies from one ecological region to another. A Roman numeral hierarchical scheme has been adopted for different levels for ecological regions. Level I is the coarsest level, dividing North America into 15 ecological regions. Level II divides the continent into 52 regions (Commission for Environmental Cooperation Working Group, 1997). At Level III, the continental United States contains 104 regions whereas the conterminous United States has 85 (U.S. Environmental Protection Agency, 2005). Level IV ecoregions (n = 968) are further subdivisions of Level III ecoregions. Methods used to define the ecoregions are explained in Omernik (1995, 2004), Omernik and others (2000), and Gallant and others (1989). / Literature cited: / Commission for Environmental Cooperation Working Group, 1997, Ecological regions of North America- toward a common perspective: Montreal, Commission for Environmental Cooperation, 71 p. / Gallant, A.L., Whittier, T.R., Larsen, D.P., Omernik, J.M., and Hughes, R.M., 1989, Regionalization as a tool for managing environmental resources: Corvallis, Oregon, U.S. Environmental Protection Agency, EPA/600/3-89/060, 152p. / Omernik, J.M., 1995, Ecoregions - a framework for environmental management, in Davis, W.S. and Simon, T.P., eds., Biological assessment and criteria-tools for water resource planning and decision making: Boca Raton, Florida, Lewis Publishers, p.49-62. / Omernik, J.M., Chapman, S.S., Lillie, R.A., and Dumke, R.T., 2000, Ecoregions of Wisconsin: Transactions of the Wisconsin Academy of Science, Arts, and Letters, v. 88, p. 77-103. / Omernik, J.M., 2004, Perspectives on the nature and definitions of ecological regions: Environmental Management, v. 34, Supplement 1, p. s27-s38. / Comments and questions regarding ecoregion development should be addressed to Glenn Griffith, Dynamac Corporation, c/o US EPA., 200 SW 35th Street, Corvallis, OR 97333, 541-754-4465, email:griffith.glenn@epa.gov Alternate: James Omernik, USGS, c/o US EPA, 200 SW 35th Street, Corvallis, OR 97333, 541-754-4458, email:omernik.james@epa.gov",{02C99043-2E25-4A4E-BBE3-6AAE81ED7FC8},public
EPA,https://edg.epa.gov/data/public/OSWER/OEM/6KQuads/6kquads_epa.zip,"6K Quads for ER Reference, US, EPA, SEGS","This dynamic web map service contains reference quads for emergency response reconnaissance developed for use by the US Environmental Protection Agency. Grid cells are based on densification of the USGS Quarterquad (1:12,000 scale or 12K) grids for the continental United States, Alaska, Hawaii and Puerto Rico and are roughly equivalent to 1:6000 scale (6K) quadrangles approximately 2 miles long on each side. Note: This data set is also available as a downloadable national-scale file (>80MB) and as individual regional subsets. Each regional extract includes a 20 mile buffer of tiles around each EPA Region.",{7A5A7E02-E65D-465A-AD89-416C8D611D6C},public
EPA,http://epa.maps.arcgis.com/home/webmap/viewer.html?webmap=71763c660bc349b7b3a8bd94afe82278,Distribution and Aggregate Thickness of Salt Deposits of the United States,"The map shows the distribution and aggregate thickness of salt deposits of the United States. This information is from contour map sheets, scanned and processed for use in a global mineral resource assessment, produced by the U.S. Geological Survey. It is used here to provide a geospatial context to the distribution of rock-salt deposits in the US. It is useful in illustrating sources of chlorides.",{8D2FEA0E-A96C-4167-A04C-4A827B71B86F},public
